continent	country	rate	gdp
Asia	Saudi Arabia	20.0	726.9
Africa	Sudan	35.0	80.8
Africa	Senegal	30.0	27.9
Asia	Singapore	17.0	330.2
Oceania	Solomon Islands	30.0	1.0
Africa	Sierra Leone	30.0	4.0
North America	El Salvador	30.0	23.7
Europe	Serbia	15.0	46.7
Africa	Sao Tome and Principe	25.0	0.3
South America	Suriname	36.0	4.8
Europe	Slovakia	21.0	120.0
Europe	Slovenia	19.0	59.1
Europe	Sweden	21.4	604.6
Africa	Swaziland	27.5	5.6
Africa	Seychelles	33.0	1.5
Asia	Syrian Arab Republic	28.0	35.5
Africa	Chad	35.0	13.5
Africa	Togo	27.0	5.9
Asia	Thailand	20.0	471.7
Asia	Tajikistan	23.0	10.7
Asia	Turkmenistan	8.0	50.3
Oceania	Tonga	25.0	0.4
North America	Trinidad and Tobago	30.0	21.8
Africa	Tunisia	25.0	53.6
Asia	Turkey	22.0	1251.9
Asia	Taiwan	20.0	562.9
Africa	United Republic of Tanzania	30.0	58.8
Africa	Uganda	30.0	31.7
Europe	Ukraine	18.0	139.1
South America	Uruguay	25.0	52.3
North America	United States of America	25.766571	18637.9
Asia	Uzbekistan	7.5	76.8
North America	Saint Vincent and the Grenadines	30.0	0.8
South America	Venezuela (Bolivarian Republic of)	34.0	106.5
Asia	Viet Nam	20.0	212.9
Oceania	Samoa	27.0	0.8
Asia	Yemen	20.0	19.5
Africa	South Africa	28.0	438.8
Africa	Zambia	35.0	30.7
