,continent,country,year,rate,gdp,population
2498,Asia,Sri Lanka,2020,28.0,91.6,21428970
2523,Africa,Lesotho,2020,25.0,3.0,2145194
2551,Europe,Lithuania,2020,15.0,52.1,2715340
2579,Europe,Luxembourg,2020,24.94,68.5,627704
2605,Europe,Latvia,2020,20.0,33.7,1882408
2645,Africa,Morocco,2020,31.0,131.1,36985624
2659,Africa,Madagascar,2020,20.0,12.3,27808395
2666,Asia,Maldives,2020,15.0,4.6,542151
2707,North America,Mexico,2020,30.0,1337.6,129166028
2717,Africa,Mali,2020,30.0,16.3,20346106
2758,Europe,Malta,2020,35.0,14.9,441750
2774,Asia,Myanmar,2020,25.0,80.6,54473253
2785,Asia,Mongolia,2020,25.0,14.7,3287242
2811,Africa,Mozambique,2020,32.0,16.9,31398811
2828,Africa,Mauritania,2020,25.0,6.6,4669775
2862,Africa,Mauritius,2020,15.0,14.4,1272140
2901,Africa,Malawi,2020,30.0,10.3,19211425
2942,Asia,Malaysia,2020,24.0,415.7,32436963
2972,Africa,Namibia,2020,32.0,15.2,2548663
2982,Africa,Niger,2020,30.0,10.0,24346468
3023,Africa,Nigeria,2020,30.0,488.4,206984347
3057,North America,Nicaragua,2020,30.0,11.4,6638075
3098,Europe,Netherlands,2020,25.0,977.1,17141544
3138,Europe,Norway,2020,22.0,509.6,5428594
3152,Asia,Nepal,2020,25.0,25.5,29225196
3193,Oceania,New Zealand,2020,28.0,195.1,4829021
3234,Asia,Oman,2020,15.0,79.6,5128058
3275,Asia,Pakistan,2020,29.0,267.5,221612785
3316,North America,Panama,2020,25.0,53.5,4326296
3357,South America,Peru,2020,29.5,222.5,33050211
3398,Asia,Philippines,2020,30.0,362.1,109830324
3439,Oceania,Papua New Guinea,2020,30.0,21.2,8975531
3469,Europe,Poland,2020,19.0,680.4,37839255
3508,North America,Puerto Rico,2020,37.5,85.9,2846860
3548,Europe,Portugal,2020,31.5,251.7,10191409
3589,South America,Paraguay,2020,10.0,40.1,7147553
3617,Europe,Romania,2020,16.0,240.0,19214608
3634,Africa,Rwanda,2020,30.0,11.6,13005303
3675,Asia,Saudi Arabia,2020,20.0,726.9,34905942
3702,Africa,Sudan,2020,35.0,80.8,44019263
3741,Africa,Senegal,2020,30.0,27.9,16816539
3782,Asia,Singapore,2020,17.0,330.2,5858322
3814,Oceania,Solomon Islands,2020,30.0,1.0,689671
3830,Africa,Sierra Leone,2020,30.0,4.0,8004158
3871,North America,El Salvador,2020,30.0,23.7,6491923
3892,Europe,Serbia,2020,15.0,46.7,8731081
3910,South America,Suriname,2020,36.0,4.8,587541
3938,Europe,Slovakia,2020,21.0,120.0,5460109
3963,Europe,Slovenia,2020,19.0,59.1,2078989
4003,Europe,Sweden,2020,21.4,604.6,10110233
4025,Africa,Seychelles,2020,33.0,1.5,98453
4035,Africa,Chad,2020,35.0,13.5,16502877
4041,Africa,Togo,2020,27.0,5.9,8310934
4082,Asia,Thailand,2020,20.0,471.7,69830779
4093,Asia,Tajikistan,2020,23.0,10.7,9573310
4109,Asia,Turkmenistan,2020,8.0,50.3,6046292
4115,Oceania,Tonga,2020,25.0,0.4,105901
4155,North America,Trinidad and Tobago,2020,30.0,21.8,1400283
4181,Africa,Tunisia,2020,25.0,53.6,11839918
4209,Asia,Turkey,2020,22.0,1251.9,84495243
4250,Asia,Taiwan,2020,20.0,562.9,23824369
4280,Africa,Uganda,2020,30.0,31.7,45974931
4306,Europe,Ukraine,2020,18.0,139.1,43686577
4347,South America,Uruguay,2020,25.0,52.3,3475842
4388,North America,United States of America,2020,25.766571,18637.9,331341050
4410,Asia,Uzbekistan,2020,7.5,76.8,33551824
4450,Oceania,Samoa,2020,27.0,0.8,198643
4476,Asia,Yemen,2020,20.0,19.5,29935468
4510,Africa,South Africa,2020,28.0,438.8,59436725
4551,Africa,Zambia,2020,35.0,30.7,18468257
